contrato,acao,efetividade,tx_efetividade
0014cccd47b66a47af4e62c4dcbe95f1,7,1.0,0.14285714285714285
001621e2d725ab3d3773692745be79b2,8,3.0,0.375
00208e68789d39fbdf3f16597d2e9794,7,2.0,0.2857142857142857
0024e3d24e30f0cecd7880e59f1eaab5,7,2.0,0.2857142857142857
002ad4fcb555ef204cabddbcf358d657,2,0.0,0.0
00390c6d4fd287d93efdd7a4a26c543c,1,0.0,0.0
00444b1863e7fdb2a6e63f2a866d0184,3,1.0,0.3333333333333333
006179e504cf6e167261122484692f0b,17,2.0,0.11764705882352941
007f1118f0ef2f7751b269c82380cb63,7,3.0,0.42857142857142855
0082e98cd3ba9e184a41f2b0ba6909e0,20,0.0,0.0
00a20ce6b16ef5882b3331543f26e30b,14,0.0,0.0
00a294cf586b61bec5b6834be5037602,25,4.0,0.16
00af78adb4803c8e23eb482281e75ac7,22,10.0,0.45454545454545453
00b5642d31ffa47cc5ceb291ab90c153,1,0.0,0.0
00b5754990d1cab099bde4841e319229,20,0.0,0.0
00c3404b5409ce1d896d096a54e9c12f,1,0.0,0.0
00c8fcbc99042b45ffd45c47d7e499ad,17,4.0,0.23529411764705882
00ca1f410526391269d687f2ebb53e91,14,1.0,0.07142857142857142
00ceef04f5519d6abd6fab11cfb9a454,5,2.0,0.4
00d86c807167dabb7f8df6623e594bdc,22,3.0,0.13636363636363635
00e21164f6ca57c4d6a6faf19b0e5d78,4,1.0,0.25
00f9595a6727813ba33fec1d0138dbdf,1,0.0,0.0
00ff754c10a25483a0548a1b216bf205,9,1.0,0.1111111111111111
01047210d6a8cb1f6710b51657139a10,3,2.0,0.6666666666666666
0109577ef0c9a76ff32054ac890f42a5,22,2.0,0.09090909090909091
011a1d8a71af0865355db285742666e3,12,0.0,0.0
011daba99d2e137700e4bbde5ae3a8cc,1,0.0,0.0
0129ad36c2887cadf989c97ba9a1f18a,13,2.0,0.15384615384615385
0137fd1ddbeae32ad4a6302fbaf48982,7,0.0,0.0
0142c1f4b7662cf5963c5cb162e3ee3a,20,0.0,0.0
015642c452bcfe8e1581b023262943d3,7,0.0,0.0
0164b6c28fed7e03ce82e70a86d14cb4,5,2.0,0.4
